game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_17_CUEvSAIT,CUE,1,Noah Michalczuk,2,6,0,7,0.857,0,0,1,0,0,0,0,0,0,6
2025_10_17_CUEvSAIT,CUE,2,Keenan Farrell *,2,2,0,3,0.667,0,1,0,0,0,0,0,0,0,3
2025_10_17_CUEvSAIT,CUE,3,Tyce Dayman *,3,3,0,3,1,0,3,2,0,0,0,0,0,0,6
2025_10_17_CUEvSAIT,CUE,4,Zach Fernandez,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
2025_10_17_CUEvSAIT,CUE,5,Brodie Wight *,2,2,0,2,1,0,0,0,0,0,1,0,0,0,3
2025_10_17_CUEvSAIT,CUE,7,Austin Wilson,3,2,0,2,1,0,0,0,0,0,0,0,0,0,2
2025_10_17_CUEvSAIT,CUE,8,Liam Frost *,3,4,0,4,1,3,0,5,0,0,1,0,0,0,5
2025_10_17_CUEvSAIT,CUE,9,Alexi Dufour *,3,9,0,9,1,21,0,6,0,0,0,0,0,0,9
2025_10_17_CUEvSAIT,CUE,10,Kaiden Gray,2,12,0,13,0.923,18,0,2,0,0,0,0,0,0,12
2025_10_17_CUEvSAIT,CUE,11,Spencer Grant,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,CUE,13,Markus Rottier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,CUE,14,Logan Kranrod *,2,4,0,4,1,0,0,0,0,0,5,0,0,0,9
2025_10_17_CUEvSAIT,SAIT,1,Jonah Deranger *,2,7,3,12,0.333,0,0,2,0,0,3,0,0,0,10
2025_10_17_CUEvSAIT,SAIT,3,Brandon Burnside *,1,3,2,7,0.143,0,3,3,0,0,0,0,0,0,6
2025_10_17_CUEvSAIT,SAIT,4,Roberto Cherivi Rincon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,6,Finley Rasmuson,2,2,1,4,0.25,0,0,2,0,0,0,1,0,0,2.5
2025_10_17_CUEvSAIT,SAIT,7,Matt Baker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,8,Alex Liao *,3,1,0,0,0,30,1,0,0,0,0,0,0,0,2
2025_10_17_CUEvSAIT,SAIT,10,Logan Williams *,3,5,3,13,0.154,0,3,2,0,0,0,0,0,0,8
2025_10_17_CUEvSAIT,SAIT,12,Matthew Debeljak,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1
2025_10_17_CUEvSAIT,SAIT,13,Cuau Alves De Carvalho,2,3,0,3,1,0,1,1,0,0,0,0,0,0,4
2025_10_17_CUEvSAIT,SAIT,15,Owen Stallings *,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,16,Newon Dissee,2,2,0,3,0.667,0,0,1,0,0,0,0,0,0,2
2025_10_17_CUEvSAIT,SAIT,17,Liam Peartree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,18,James Keenan *,2,4,2,7,0.286,1,1,2,0,0,0,0,0,0,5
2025_10_17_CUEvSAIT,SAIT,20,Rylan Schebesch,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0

