game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_17_OCvUAA,OC,3,Nicolas Hill *,5,8,12,34,-0.118,1,1,1,0,7,2,0,0,0,11
2025_10_17_OCvUAA,OC,4,Evan Brand,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,5,Trysten Kim,5,0,2,2,-1,0,0,0,0,4,0,0,0,0,0
2025_10_17_OCvUAA,OC,7,Carter Sinclair *,5,8,2,17,0.353,0,0,0,0,4,1,0,0,0,9
2025_10_17_OCvUAA,OC,8,Jack Hudson,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2025_10_17_OCvUAA,OC,9,Devon Sterling *,5,7,2,19,0.263,0,2,7,0,8,3,0,0,0,12
2025_10_17_OCvUAA,OC,10,Jackson Hawkswell *,5,8,3,16,0.312,0,0,2,0,1,3,0,0,0,11
2025_10_17_OCvUAA,OC,11,Rowan Irvine,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,12,Sean Vanderzee *,5,3,0,5,0.6,35,0,2,0,7,0,0,0,0,3
2025_10_17_OCvUAA,OC,14,Victor Reis *,5,18,7,34,0.324,0,2,8,0,8,0,0,0,0,20
2025_10_17_OCvUAA,OC,16,Braydon Beattie,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,18,Kieran Neale,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,19,Landen Roznowski,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2025_10_17_OCvUAA,UAA,3,Jake Popowich,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_OCvUAA,UAA,4,Aiden Peake *,3,3,6,15,-0.2,0,0,2,0,4,1,0,0,0,4
2025_10_17_OCvUAA,UAA,5,Rylan Kelndorfer *,5,7,0,15,0.467,0,0,6,0,7,0,0,0,0,7
2025_10_17_OCvUAA,UAA,7,Sean Kaliel,3,5,0,13,0.385,0,0,0,0,8,0,0,0,0,5
2025_10_17_OCvUAA,UAA,8,Luke Erdman *,5,5,1,8,0.5,0,2,3,0,4,0,0,0,0,7
2025_10_17_OCvUAA,UAA,9,Owen Rasmuson *,5,3,2,7,0.143,0,1,3,0,2,0,0,0,0,4
2025_10_17_OCvUAA,UAA,10,Luke Schaefer,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1
2025_10_17_OCvUAA,UAA,15,Dawson Sparrow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025_10_17_OCvUAA,UAA,16,Caelum Hartman *,5,3,1,6,0.333,36,1,5,0,8,1,0,0,0,5
2025_10_17_OCvUAA,UAA,17,Devon Nazarchuck *,5,22,3,53,0.358,0,2,5,0,6,0,0,0,0,24
2025_10_17_OCvUAA,UAA,18,Joel Smith,5,0,0,0,0,1,0,0,0,13,0,0,0,0,0

