game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_17_RDPvNAIT,RDP,1,Zachary Neufeld *,5,7,2,18,0.278,1,1,2,0,2,0,0,0,0,8
2025_10_17_RDPvNAIT,RDP,3,Colby Nemeth *,5,21,5,48,0.333,4,2,5,1,5,0,0,0,0,23
2025_10_17_RDPvNAIT,RDP,8,Dante Furlan,5,3,2,10,0.1,0,1,2,0,3,0,0,0,0,4
2025_10_17_RDPvNAIT,RDP,9,Brett Lower *,5,21,3,35,0.514,2,0,3,0,6,1,0,0,0,22
2025_10_17_RDPvNAIT,RDP,10,Bradley Noskey,5,0,1,2,-0.5,1,0,0,2,20,0,0,0,0,0
2025_10_17_RDPvNAIT,RDP,12,Netana Samia *,5,4,0,4,1,49,2,3,0,5,3,0,0,0,9
2025_10_17_RDPvNAIT,RDP,15,Evan Ockerman *,5,3,0,4,0.75,0,0,1,0,4,4,0,0,0,7
2025_10_17_RDPvNAIT,RDP,16,Rylan Teasdale *,4,1,3,6,-0.333,0,0,2,0,1,1,0,0,0,2
2025_10_17_RDPvNAIT,NAIT,2,Ben Weiss,3,0,1,1,-1,6,0,1,0,0,0,0,0,0,0
2025_10_17_RDPvNAIT,NAIT,3,Jace Spinney *,5,2,0,6,0.333,53,2,5,0,6,0,0,0,0,4
2025_10_17_RDPvNAIT,NAIT,5,Ben Kieser *,5,5,3,10,0.2,0,0,1,0,1,0,0,0,0,5
2025_10_17_RDPvNAIT,NAIT,6,Julien Philips *,5,23,3,40,0.5,0,2,6,0,6,1,0,0,0,26
2025_10_17_RDPvNAIT,NAIT,8,Cole Barlage,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025_10_17_RDPvNAIT,NAIT,9,Kaden Bennett *,5,18,4,30,0.467,3,1,3,0,6,0,0,0,0,19
2025_10_17_RDPvNAIT,NAIT,10,Aiden Wright *,5,11,8,34,0.088,2,2,3,0,7,1,0,0,0,14
2025_10_17_RDPvNAIT,NAIT,11,Noah Henson,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1
2025_10_17_RDPvNAIT,NAIT,12,Finn Howard,5,5,3,9,0.222,0,1,0,0,4,2,0,0,0,8
2025_10_17_RDPvNAIT,NAIT,14,Carsten Bergeron *,2,2,1,5,0.2,0,0,1,0,0,1,0,0,0,3
2025_10_17_RDPvNAIT,NAIT,15,Koda Dunfield,5,1,0,2,0.5,2,0,0,1,21,0,0,0,0,1
2025_10_17_RDPvNAIT,NAIT,16,Emmett Neuls,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0

