game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,
2025_10_18_AMBvNWP,AMB,1,Jeffery Culshaw,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_AMBvNWP,AMB,3,Kadin Marquez,1,0,1,5,-0.2,0,1,0,0,0,0,0,0,0,1
2025_10_18_AMBvNWP,AMB,4,Noah Verhoef *,3,10,2,19,0.421,0,1,1,0,5,0,0,0,0,11
2025_10_18_AMBvNWP,AMB,7,Cole Giesbrecht *,3,1,3,12,-0.167,0,0,1,0,1,0,0,0,0,1
2025_10_18_AMBvNWP,AMB,8,Casey Needham,3,0,0,0,0,7,0,1,0,2,0,0,0,0,0
2025_10_18_AMBvNWP,AMB,9,George Zapach *,3,0,2,3,-0.667,0,0,2,0,0,0,0,0,0,0
2025_10_18_AMBvNWP,AMB,11,Dane Slater *,3,1,0,4,0.25,0,0,2,0,0,0,0,0,0,1
2025_10_18_AMBvNWP,AMB,12,Amir Rezaei *,3,0,0,0,0,7,0,1,0,2,0,0,0,0,0
2025_10_18_AMBvNWP,AMB,15,Cooper Strachan,3,1,2,9,-0.111,0,0,1,0,3,0,0,0,0,1
2025_10_18_AMBvNWP,AMB,16,Kade Miller *,2,2,3,8,-0.125,0,0,0,0,0,0,0,0,0,2
2025_10_18_AMBvNWP,AMB,17,Benjamin Farley,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,1,Jeremy Kriletich *,3,15,2,27,0.481,0,3,5,0,1,3,0,0,0,21
2025_10_18_AMBvNWP,NWP,2,Keon Smith,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,5,Rylan Young,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,6,Owen Schmidt,3,0,0,0,0,10,0,0,0,2,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,10,Josh Dumont *,3,4,2,10,0.2,1,1,4,0,4,0,0,0,0,5
2025_10_18_AMBvNWP,NWP,11,Cooper Paulovich *,3,5,1,11,0.364,0,0,4,0,2,0,0,0,0,5
2025_10_18_AMBvNWP,NWP,12,Caleb Lockington *,3,6,2,10,0.4,0,1,4,0,0,0,0,0,0,7
2025_10_18_AMBvNWP,NWP,13,Carter Tuttle *,3,0,0,0,0,23,0,2,0,9,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,14,Lincoln Fehr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,15,Justice Bigstone *,3,5,0,5,1,0,1,1,0,1,2,0,0,0,8
2025_10_18_AMBvNWP,NWP,16,Jaxon Magnusson,1,1,0,2,0.5,0,0,1,0,0,0,0,0,0,1
2025_10_18_AMBvNWP,NWP,17,Ben Allard,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1
