game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,
2025_10_18_CUEvLPK,CUE,1,Noah Michalczuk,3,3,4,6,-0.167,1,0,3,0,2,0,0,0,0,3
2025_10_18_CUEvLPK,CUE,2,Keenan Farrell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,CUE,3,Tyce Dayman *,3,1,3,5,-0.4,2,0,4,0,0,0,0,0,0,1
2025_10_18_CUEvLPK,CUE,4,Zach Fernandez,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,CUE,5,Brodie Wight,3,10,4,14,0.429,0,1,2,0,1,0,0,0,0,11
2025_10_18_CUEvLPK,CUE,7,Austin Wilson,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_18_CUEvLPK,CUE,8,Liam Frost *,3,4,2,8,0.25,17,0,4,0,1,0,0,0,0,4
2025_10_18_CUEvLPK,CUE,9,Alexi Dufour *,3,6,5,13,0.077,2,2,3,0,2,1,0,0,0,9
2025_10_18_CUEvLPK,CUE,10,Kaiden Gray *,3,1,0,1,1,0,0,2,0,1,0,0,0,0,1
2025_10_18_CUEvLPK,CUE,11,Spencer Grant,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,CUE,13,Markus Rottier,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2025_10_18_CUEvLPK,CUE,14,Logan Kranrod *,3,4,0,5,0.8,0,2,3,0,0,1,0,0,0,7
2025_10_18_CUEvLPK,LPK,1,Ben St. Pierre *,2,0,0,0,0,14,0,1,0,1,1,0,0,0,1
2025_10_18_CUEvLPK,LPK,2,Brady Ewart,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,LPK,5,Malcolm Fisher,3,1,2,4,-0.25,1,0,0,0,7,0,0,0,0,1
2025_10_18_CUEvLPK,LPK,6,Cameron Marshall *,3,5,4,17,0.059,1,1,2,0,2,2,0,0,0,8
2025_10_18_CUEvLPK,LPK,7,David Kindley,1,0,0,0,0,5,0,1,0,1,1,0,0,0,1
2025_10_18_CUEvLPK,LPK,9,Ben Dyck *,3,8,1,12,0.583,0,0,1,0,2,2,0,0,0,10
2025_10_18_CUEvLPK,LPK,10,Dario Gentile,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,LPK,14,Corny Bergen *,3,7,2,16,0.312,0,1,3,0,4,0,0,0,0,8
2025_10_18_CUEvLPK,LPK,16,Karl Petker *,2,2,0,3,0.667,0,0,0,0,0,2,0,0,0,4
2025_10_18_CUEvLPK,LPK,17,Tristan Iwanczuk *,3,1,0,2,0.5,0,0,0,0,0,1,0,0,0,2
2025_10_18_CUEvLPK,LPK,19,Nicholas Billo,2,0,0,1,0,1,0,1,0,0,2,0,0,0,2
2025_10_18_CUEvLPK,LPK,20,Nate Callihoo,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1
2025_10_18_CUEvLPK,LPK,21,Oliver Billyard,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,LPK,31,Gavin Worobec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
