game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_24_MHCvAMB,MHC,1,Jude Martineau,1,0,0,0,0,0,2,2,0,3,0,0,0,0,2
2025_10_24_MHCvAMB,MHC,3,Joel Lehr *,3,4,2,12,0.167,0,0,0,0,0,0,0,0,0,4
2025_10_24_MHCvAMB,MHC,4,Jacob MacGillivray,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,MHC,5,Declan Cook,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,MHC,6,Cade Harrison,1,2,0,2,1,0,0,1,0,0,0,0,0,0,2
2025_10_24_MHCvAMB,MHC,7,Conor Aasman *,3,6,0,11,0.545,0,1,2,0,0,1,0,0,0,8
2025_10_24_MHCvAMB,MHC,9,Landon Reiniger *,3,6,1,10,0.5,0,0,2,0,0,5,0,0,0,11
2025_10_24_MHCvAMB,MHC,11,William Reininger *,3,4,7,15,-0.2,1,0,3,0,5,1,0,0,0,5
2025_10_24_MHCvAMB,MHC,12,Alexander Baird *,3,2,4,11,-0.182,31,1,3,0,1,0,0,0,0,3
2025_10_24_MHCvAMB,MHC,13,Keanen Hamilton *,3,1,0,1,1,0,0,4,0,1,4,0,0,0,5
2025_10_24_MHCvAMB,MHC,14,Rowan Nykolshyn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,MHC,15,Evan Knezacek,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2025_10_24_MHCvAMB,MHC,16,Talen Giraudier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,MHC,17,Jagr Sorensen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,AMB,1,Jeffery Culshaw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,AMB,3,Kadin Marquez,2,2,1,8,0.125,0,1,0,0,0,0,0,0,0,3
2025_10_24_MHCvAMB,AMB,4,Noah Verhoef *,3,8,1,13,0.538,0,1,2,0,2,1,0,0,0,10
2025_10_24_MHCvAMB,AMB,5,Eamon Broe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,AMB,6,Spencer Hinz,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1
2025_10_24_MHCvAMB,AMB,7,Cole Giesbrecht,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,AMB,8,Casey Needham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_MHCvAMB,AMB,9,George Zapach *,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2025_10_24_MHCvAMB,AMB,10,Nathan Lazarenko,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_24_MHCvAMB,AMB,11,Dane Slater *,3,3,1,8,0.25,0,1,1,0,2,0,0,0,0,4
2025_10_24_MHCvAMB,AMB,12,Amir Rezaei *,3,1,0,1,1,25,2,2,0,3,1,0,0,0,4
2025_10_24_MHCvAMB,AMB,15,Cooper Strachan *,3,10,4,14,0.429,0,2,2,0,4,1,0,0,0,13
2025_10_24_MHCvAMB,AMB,16,Kade Miller *,2,2,2,8,0,0,0,2,0,0,0,0,0,0,2
2025_10_24_MHCvAMB,AMB,17,Benjamin Farley,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0
