game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_24_TKUvNAIT,TKU,1,Dezmond Estrada,3,0,0,0,0,2,0,0,3,1,0,0,0,0,0
2025_10_24_TKUvNAIT,TKU,2,Kaden Tuininga *,3,2,2,11,0,1,0,0,1,0,0,0,0,0,2
2025_10_24_TKUvNAIT,TKU,3,Titus Acson *,3,3,2,14,0.071,0,0,2,2,2,1,0,0,0,4
2025_10_24_TKUvNAIT,TKU,4,Tyler Fredlund *,3,5,9,17,-0.235,0,0,1,0,0,1,0,0,0,6
2025_10_24_TKUvNAIT,TKU,5,Dean Larson,1,2,1,3,0.333,0,0,0,0,0,0,0,0,0,2
2025_10_24_TKUvNAIT,TKU,6,Jesse McMillan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_TKUvNAIT,TKU,7,Brodie Schutz *,3,4,1,8,0.375,0,1,1,0,3,0,0,0,0,5
2025_10_24_TKUvNAIT,TKU,8,Chad Boelee *,3,1,0,1,1,14,3,0,0,1,0,0,0,0,4
2025_10_24_TKUvNAIT,TKU,9,Tanner Johnson *,2,1,2,4,-0.25,0,0,0,0,1,0,0,0,0,1
2025_10_24_TKUvNAIT,TKU,10,Carter Wibrowski,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_TKUvNAIT,TKU,12,Anders Gabler,2,1,2,4,-0.25,0,0,1,0,1,0,0,0,0,1
2025_10_24_TKUvNAIT,TKU,13,Ronan Robertson,2,1,1,2,0,0,1,0,0,0,0,0,0,0,2
2025_10_24_TKUvNAIT,TKU,14,Tino Kwatara,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2025_10_24_TKUvNAIT,TKU,16,Sebastian Hoekstra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_TKUvNAIT,NAIT,1,Mason Gorski *,3,1,1,2,0,36,0,3,0,3,1,0,0,0,2
2025_10_24_TKUvNAIT,NAIT,2,Ben Weiss,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_TKUvNAIT,NAIT,4,Jacob Ritz,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_24_TKUvNAIT,NAIT,5,Ben Kieser *,3,6,2,13,0.308,0,0,3,0,1,2,0,0,0,8
2025_10_24_TKUvNAIT,NAIT,6,Julien Phillips *,3,17,4,22,0.591,0,4,1,0,2,1,0,0,0,22
2025_10_24_TKUvNAIT,NAIT,8,Cole Barlage,1,1,0,1,1,0,1,0,1,0,0,0,0,0,2
2025_10_24_TKUvNAIT,NAIT,9,Kaden Bennett *,3,7,1,10,0.6,0,4,2,2,4,0,0,0,0,11
2025_10_24_TKUvNAIT,NAIT,10,Aiden Wright *,3,2,3,8,-0.125,1,0,1,1,3,2,0,0,0,4
2025_10_24_TKUvNAIT,NAIT,14,Carsten Bergeron *,3,4,2,7,0.286,0,1,1,0,0,2,0,0,0,7
2025_10_24_TKUvNAIT,NAIT,15,Koda Dunfield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_TKUvNAIT,NAIT,16,Emmett Neuls,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2025_10_24_TKUvNAIT,NAIT,18,Josh Annett,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
