game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,
2025_10_17_AMBvTKU,AMB,2,Taylor Hart,3,11,0,0,0,0,0,0,0,4,0,0,0,0,11
2025_10_17_AMBvTKU,AMB,5,Halle Blocha *,2,4,0,0,0,1,0,0,0,2,0,0,0,0,4
2025_10_17_AMBvTKU,AMB,9,Brooklyn Deol *,4,9,0,0,0,0,3,0,0,0,5,0,0,0,17
2025_10_17_AMBvTKU,AMB,11,Jayna Thulien *,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2
2025_10_17_AMBvTKU,AMB,12,Kya Wildeman,3,1,0,0,0,0,1,0,0,2,1,0,0,0,3
2025_10_17_AMBvTKU,AMB,13,Elise Wagner *,4,13,0,0,0,0,2,0,0,7,1,0,0,0,16
2025_10_17_AMBvTKU,AMB,15,Emilie Pregal,3,0,0,0,0,1,0,0,0,11,0,0,0,0,0
2025_10_17_AMBvTKU,AMB,16,Rachel Barg *,4,0,0,0,0,21,0,0,0,6,0,0,0,0,0
2025_10_17_AMBvTKU,AMB,19,Lilah Pratt *,4,1,0,0,0,0,0,0,0,0,1,0,0,0,2
2025_10_17_AMBvTKU,TKU,1,Kadison McLeod *,4,6,0,0,0,0,1,0,0,5,1,0,0,0,8
2025_10_17_AMBvTKU,TKU,2,Samantha Langdon,4,11,0,0,0,2,1,0,0,4,1,0,0,0,13
2025_10_17_AMBvTKU,TKU,4,Leah Aukema *,4,4,0,0,0,5,2,0,0,4,1,0,0,0,7
2025_10_17_AMBvTKU,TKU,5,Lacey Saville *,4,2,0,0,0,0,0,0,0,0,1,0,0,0,3
2025_10_17_AMBvTKU,TKU,6,Grace Reist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_AMBvTKU,TKU,11,Katie Hadwin,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025_10_17_AMBvTKU,TKU,12,Emma Scheerle *,4,6,0,0,0,0,1,0,0,1,1,0,0,0,8
2025_10_17_AMBvTKU,TKU,13,Chenee Lehman,4,0,0,0,0,1,0,0,0,8,0,0,0,0,0
2025_10_17_AMBvTKU,TKU,15,Jensyn Brydon *,4,10,0,0,0,0,1,0,0,3,0,0,0,0,11
2025_10_17_AMBvTKU,TKU,22,Emma Laybourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
