game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_17_CUEvSAIT,CUE,1,Justine May,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,CUE,3,Olivia Spelt *,2,4,0,0,0,0,1,0,0,0,3,0,0,0,8
2025_10_17_CUEvSAIT,CUE,4,Denae Hordal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,CUE,6,Brooke Weber,2,0,0,0,0,2,0,1,0,0,1,0,0,0,1
2025_10_17_CUEvSAIT,CUE,7,Stephanie Kendziora *,3,9,0,13,0.692,0,1,2,0,0,2,0,0,0,12
2025_10_17_CUEvSAIT,CUE,8,Emma Tran *,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,CUE,9,Jenna May *,2,1,0,3,0.333,0,0,1,0,0,1,0,0,0,2
2025_10_17_CUEvSAIT,CUE,10,Alex MacDonald *,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2
2025_10_17_CUEvSAIT,CUE,11,Emma Thompson *,2,4,0,5,0.8,2,1,0,0,0,1,0,0,0,6
2025_10_17_CUEvSAIT,CUE,13,Shelby Reibin,2,1,0,3,0.333,9,0,0,0,0,0,0,0,0,1
2025_10_17_CUEvSAIT,CUE,15,Kolby Zimmer,3,7,0,11,0.636,8,2,1,0,0,4,0,0,0,13
2025_10_17_CUEvSAIT,CUE,18,Kayla Burns,2,0,0,2,0,11,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,1,Sarah Henriksen *,2,9,2,15,0.467,0,0,2,0,0,1,0,0,0,10
2025_10_17_CUEvSAIT,SAIT,3,Grace Florence *,2,4,1,6,0.5,28,1,2,0,0,1,0,0,0,6
2025_10_17_CUEvSAIT,SAIT,4,Liv Sladek,1,1,3,5,-0.4,0,0,0,0,0,0,0,0,0,1
2025_10_17_CUEvSAIT,SAIT,5,Arewyn Rae *,3,8,0,18,0.444,1,0,5,0,0,3,0,0,0,11
2025_10_17_CUEvSAIT,SAIT,6,Madison Dyck,1,0,1,1,-1,15,2,2,0,0,0,0,0,0,2
2025_10_17_CUEvSAIT,SAIT,7,Mia Delaquis *,3,11,4,24,0.292,0,0,2,0,0,1,0,0,0,12
2025_10_17_CUEvSAIT,SAIT,9,Avery Sande,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,10,Zenna Miller,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3
2025_10_17_CUEvSAIT,SAIT,11,Temi Bankole,3,6,3,13,0.231,0,2,1,0,0,4,0,0,0,12
2025_10_17_CUEvSAIT,SAIT,12,Crystal Webber *,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0
2025_10_17_CUEvSAIT,SAIT,13,Jocelyn Ruark *,2,8,1,15,0.467,0,1,3,0,0,2,0,0,0,11
2025_10_17_CUEvSAIT,SAIT,18,Mercedes Reinhart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

