game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_17_OCvUAA,OC,1,Hannah Stewart,1,1,0,4,0.25,0,0,0,0,2,0,0,0,0,1
2025_10_17_OCvUAA,OC,2,Lisa Buchard *,3,0,0,1,0,0,0,1,0,3,0,0,0,0,0
2025_10_17_OCvUAA,OC,3,Kennedy Paget *,3,3,3,16,0,0,0,4,0,3,0,0,0,0,3
2025_10_17_OCvUAA,OC,6,Hayden gervais,2,0,2,2,-1,0,0,1,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,9,Ella Kivi *,3,0,1,1,-1,7,0,2,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,10,Raya Jorgensen *,3,5,1,8,0.5,0,0,0,0,4,0,0,0,0,5
2025_10_17_OCvUAA,OC,11,Ava Campbell,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025_10_17_OCvUAA,OC,12,Faith Buffalo *,3,0,2,8,-0.25,0,1,1,0,0,0,0,0,0,1
2025_10_17_OCvUAA,OC,13,Kalyna Bahler,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2025_10_17_OCvUAA,OC,16,Lexi Lafreniere *,3,2,2,15,0,1,3,1,0,4,1,0,0,0,6
2025_10_17_OCvUAA,OC,18,Andrea Geraghty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_OCvUAA,UAA,1,Brooke McBride *,3,10,1,13,0.692,0,0,4,0,0,5,0,0,0,15
2025_10_17_OCvUAA,UAA,5,Phaedra Bruens *,2,0,0,0,0,19,0,2,0,2,0,0,0,0,0
2025_10_17_OCvUAA,UAA,6,Cassandra Klinger,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2025_10_17_OCvUAA,UAA,8,Andrea Breabans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_OCvUAA,UAA,9,Keira Scharfenberg,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_17_OCvUAA,UAA,10,Hadley Ziemmer *,3,10,1,19,0.474,0,1,2,0,3,1,0,0,0,12
2025_10_17_OCvUAA,UAA,11,Taryn Watson *,3,8,0,14,0.571,0,0,1,0,4,0,0,0,0,8
2025_10_17_OCvUAA,UAA,12,Katelyn Hennessy,3,1,0,3,0.333,15,2,1,0,2,0,0,0,0,3
2025_10_17_OCvUAA,UAA,14,Lainey Granley *,3,2,0,3,0.667,0,1,3,0,1,0,0,0,0,3
2025_10_17_OCvUAA,UAA,17,Grace Haws,3,2,1,7,0.143,0,0,0,0,1,1,0,0,0,3
2025_10_17_OCvUAA,UAA,18,Tamara Mathison *,2,4,1,5,0.6,0,0,0,0,2,0,0,0,0,4
2025_10_17_OCvUAA,UAA,20,Ella Jarret,1,0,1,1,-1,0,1,0,0,1,0,0,0,0,1

