game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_17_RDPvNAIT,RDP,1,Sarah Mistol *,2,2,1,11,0.091,0,0,1,2,1,0,0,0,0,2
2025_10_17_RDPvNAIT,RDP,2,Corey Hannett,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_RDPvNAIT,RDP,3,Reid Adams,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0
2025_10_17_RDPvNAIT,RDP,4,Rhyen Hannett,3,0,1,1,-1,2,1,1,0,4,0,0,0,0,1
2025_10_17_RDPvNAIT,RDP,5,Nadia McKeage *,4,3,5,20,-0.1,1,2,2,0,3,0,0,0,0,5
2025_10_17_RDPvNAIT,RDP,6,Riley Dand,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2025_10_17_RDPvNAIT,RDP,7,Rachel Perry,3,0,1,4,-0.25,0,0,0,0,0,1,0,0,0,1
2025_10_17_RDPvNAIT,RDP,8,Julia Pedersen,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_RDPvNAIT,RDP,9,Maria Brouwer *,4,0,1,4,-0.25,21,2,3,0,6,0,0,0,0,2
2025_10_17_RDPvNAIT,RDP,10,Raya Roesler,3,5,2,10,0.3,0,0,0,0,0,4,0,0,0,9
2025_10_17_RDPvNAIT,RDP,12,Marin Walton *,4,10,1,26,0.346,0,0,1,2,6,0,0,0,0,10
2025_10_17_RDPvNAIT,RDP,13,Maddy DeZutter,4,2,0,8,0.25,2,0,0,1,15,0,0,0,0,2
2025_10_17_RDPvNAIT,RDP,14,Jailyn Stouffer *,2,1,1,2,0,0,0,1,0,0,3,0,0,0,4
2025_10_17_RDPvNAIT,RDP,15,Brooke Bergstrom,3,1,4,14,-0.214,0,2,1,1,7,0,0,0,0,3
2025_10_17_RDPvNAIT,RDP,16,Autumn Letwin *,4,6,2,17,0.235,1,2,1,0,1,10,0,0,0,18
2025_10_17_RDPvNAIT,NAIT,1,Madge Prince *,4,6,2,16,0.25,0,0,2,0,0,1,0,0,0,7
2025_10_17_RDPvNAIT,NAIT,2,Makenna Doyle *,4,5,8,24,-0.125,3,3,1,3,11,0,0,0,0,8
2025_10_17_RDPvNAIT,NAIT,5,Rachel Mallett *,4,20,16,47,0.085,1,2,4,1,6,0,0,0,0,22
2025_10_17_RDPvNAIT,NAIT,6,Alexandra Benson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_RDPvNAIT,NAIT,8,Racquel Lussier,4,0,0,1,0,3,0,0,3,18,0,0,0,0,0
2025_10_17_RDPvNAIT,NAIT,9,Lexi Gedny *,4,2,2,4,0,41,2,2,0,7,0,0,0,0,4
2025_10_17_RDPvNAIT,NAIT,11,Katie Nashim *,4,14,6,33,0.242,0,1,1,0,11,1,0,0,0,16
2025_10_17_RDPvNAIT,NAIT,12,Tanisha McQueen *,4,4,1,12,0.25,0,1,1,0,5,3,0,0,0,8
2025_10_17_RDPvNAIT,NAIT,14,Emma Buyar,3,0,0,0,0,0,1,0,1,2,0,0,0,0,1
2025_10_17_RDPvNAIT,NAIT,16,Kaydence Seward,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_17_RDPvNAIT,NAIT,18,Ashley Wiesener,1,0,3,3,-1,0,0,0,0,0,0,0,0,0,0

