game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_18_AMBvNWP,AMB,2,Taylor Hart *,5,14,7,41,0.171,1,0,2,0,11,0,0,0,0,14
2025_10_18_AMBvNWP,AMB,7,Jillian Bieraugle *,2,0,0,3,0,12,1,1,0,5,0,0,0,0,1
2025_10_18_AMBvNWP,AMB,9,Brooklyn Deol *,5,10,1,23,0.391,2,2,5,0,3,3,0,0,0,15
2025_10_18_AMBvNWP,AMB,12,Kya Wildeman *,3,3,2,12,0.083,0,1,1,0,2,1,0,0,0,5
2025_10_18_AMBvNWP,AMB,13,Elise Wagner *,5,8,4,31,0.129,1,3,5,0,7,2,0,0,0,13
2025_10_18_AMBvNWP,AMB,15,Emilie Pregal,5,0,0,0,0,2,0,0,0,16,0,0,0,0,0
2025_10_18_AMBvNWP,AMB,16,Rachel Barg,3,0,0,0,0,21,1,2,0,9,0,0,0,0,1
2025_10_18_AMBvNWP,AMB,18,Alyvia Williams,4,5,1,15,0.267,0,1,2,0,2,2,0,0,0,8
2025_10_18_AMBvNWP,AMB,19,Lilah Pratt *,5,6,2,12,0.333,0,1,1,0,1,2,0,0,0,9
2025_10_18_AMBvNWP,NWP,1,Sierra LaValley *,3,1,0,4,0.25,1,0,0,0,4,1,0,0,0,2
2025_10_18_AMBvNWP,NWP,2,Sophia Smoke,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,3,Reese Holman,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,4,Alexa Hryciuk,1,1,1,3,0,0,0,0,0,3,0,0,0,0,1
2025_10_18_AMBvNWP,NWP,5,Ivey Hansma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,6,Avery Hucker,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0
2025_10_18_AMBvNWP,NWP,9,Harshpreet Dhaliwal *,5,10,2,23,0.348,0,0,1,0,11,1,0,0,0,11
2025_10_18_AMBvNWP,NWP,10,Savannah Lambert,1,1,0,2,0.5,0,0,1,0,0,1,0,0,0,2
2025_10_18_AMBvNWP,NWP,11,Josie Lund *,5,10,1,17,0.529,0,1,2,0,2,0,0,0,0,11
2025_10_18_AMBvNWP,NWP,12,Haley Demmans *,5,12,7,35,0.143,0,2,5,0,8,0,0,0,0,14
2025_10_18_AMBvNWP,NWP,13,Helaina Zeyha *,5,14,6,34,0.235,0,4,2,0,8,0,0,0,0,18
2025_10_18_AMBvNWP,NWP,15,Gillian Head *,5,0,2,2,-1,37,2,3,0,5,2,0,0,0,4
2025_10_18_AMBvNWP,NWP,16,Gabrielle Capelle,5,0,0,0,0,2,0,0,0,17,0,0,0,0,0

