game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_18_CUEvLPK,CUE,1,Justine May,3,0,0,0,0,2,1,1,0,0,0,0,0,0,1
2025_10_18_CUEvLPK,CUE,3,Olivia Spelt *,3,3,1,5,0.4,1,0,0,0,1,2,0,0,0,5
2025_10_18_CUEvLPK,CUE,7,Stephanie Kendziora *,1,0,3,4,-0.75,0,0,0,0,1,0,0,0,0,0
2025_10_18_CUEvLPK,CUE,8,Emma Tran,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,CUE,10,Alex MacDonald *,3,5,2,7,0.429,0,0,0,0,0,1,0,0,0,6
2025_10_18_CUEvLPK,CUE,11,Emma Thompson *,2,9,3,19,0.316,1,3,1,0,3,0,0,0,0,12
2025_10_18_CUEvLPK,CUE,12,Caitlin Wylie,3,6,5,12,0.083,0,0,0,0,2,0,0,0,0,6
2025_10_18_CUEvLPK,CUE,15,Kolby Zimmer *,3,12,5,21,0.333,1,1,0,0,0,0,0,0,0,13
2025_10_18_CUEvLPK,CUE,18,Kayla Burns *,3,3,2,9,0.111,20,2,1,0,4,1,0,0,0,6
2025_10_18_CUEvLPK,LPK,1,Olivia Wideman *,3,2,3,10,-0.1,0,1,1,0,0,1,0,0,0,4
2025_10_18_CUEvLPK,LPK,3,Robyn Austin *,3,18,2,39,0.41,2,0,0,0,1,2,0,0,0,20
2025_10_18_CUEvLPK,LPK,4,Trinity Walton *,3,3,2,12,0.083,1,0,1,0,2,1,0,0,0,4
2025_10_18_CUEvLPK,LPK,6,Quincy Price,3,0,1,2,-0.5,3,0,0,0,6,0,0,0,0,0
2025_10_18_CUEvLPK,LPK,8,Jorja Hamilton,2,3,2,11,0.091,0,0,0,0,4,0,0,0,0,3
2025_10_18_CUEvLPK,LPK,9,Madison Yates,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,LPK,10,Robyn Rivard,2,2,1,7,0.143,0,0,2,0,0,0,0,0,0,2
2025_10_18_CUEvLPK,LPK,11,Sofia Janzen *,3,2,1,6,0.167,1,0,2,0,0,4,0,0,0,6
2025_10_18_CUEvLPK,LPK,13,Reese Hanusich *,3,1,2,4,-0.25,24,0,1,0,4,0,0,0,0,1
2025_10_18_CUEvLPK,LPK,17,Aylah Vanderwerff,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2025_10_18_CUEvLPK,LPK,20,Lauren Barker *,3,3,1,9,0.222,0,0,3,0,0,4,0,0,0,7

