game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,
2025_10_18_OCvNAIT,OC,1,Hannah Stewart,4,6,0,11,0.545,0,1,1,2,4,0,0,0,0,7
2025_10_18_OCvNAIT,OC,2,Lisa Buchard *,4,6,1,11,0.455,1,0,0,0,3,1,0,0,0,7
2025_10_18_OCvNAIT,OC,3,Kennedy Paget *,1,1,1,3,0,0,0,2,0,0,0,0,0,0,1
2025_10_18_OCvNAIT,OC,4,True MacDonald,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1
2025_10_18_OCvNAIT,OC,5,Elli-Anna McDougald,3,3,0,5,0.6,0,0,0,0,0,0,0,0,0,3
2025_10_18_OCvNAIT,OC,6,Hayden gervais,4,1,1,6,0,22,3,4,0,3,0,0,0,0,4
2025_10_18_OCvNAIT,OC,8,Paisley Bamford,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_18_OCvNAIT,OC,9,Ella Kivi *,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0
2025_10_18_OCvNAIT,OC,10,Raya Jorgensen *,3,1,4,8,-0.375,0,0,3,2,0,0,0,0,0,1
2025_10_18_OCvNAIT,OC,11,Ava Campbell,1,0,1,3,-0.333,0,0,1,0,1,0,0,0,0,0
2025_10_18_OCvNAIT,OC,12,Faith Buffalo *,4,2,9,17,-0.412,0,3,3,0,1,1,0,0,0,6
2025_10_18_OCvNAIT,OC,13,Kalyna Bahler,4,1,0,2,0.5,3,0,0,1,5,0,0,0,0,1
2025_10_18_OCvNAIT,OC,15,Camryn McDougald,3,0,1,1,-1,0,0,1,0,0,0,0,0,0,0
2025_10_18_OCvNAIT,OC,16,Lexi Lafreniere *,4,9,4,16,0.312,2,5,3,0,5,2,0,0,0,16
2025_10_18_OCvNAIT,OC,18,Andrea Geraghty,2,0,1,1,-1,0,0,0,0,0,0,0,0,0,0
2025_10_18_OCvNAIT,NAIT,1,Madge Prince *,4,3,0,6,0.5,0,2,1,0,1,3,0,0,0,8
2025_10_18_OCvNAIT,NAIT,2,Makenna Doyle *,4,2,3,9,-0.111,3,2,1,0,5,0,0,0,0,4
2025_10_18_OCvNAIT,NAIT,4,Aysha Savoury,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2025_10_18_OCvNAIT,NAIT,5,Rachel Mallett *,4,12,4,22,0.364,1,0,2,1,4,0,0,0,0,12
2025_10_18_OCvNAIT,NAIT,6,Alexandra Benson,3,1,0,1,1,2,0,0,0,1,0,0,0,0,1
2025_10_18_OCvNAIT,NAIT,7,Addysen Noble,1,0,1,1,-1,0,1,1,0,1,0,0,0,0,1
2025_10_18_OCvNAIT,NAIT,8,Racquel Lussier,3,0,0,1,0,2,0,0,0,3,0,0,0,0,0
2025_10_18_OCvNAIT,NAIT,9,Lexi Gedny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_OCvNAIT,NAIT,10,Casey Gilmour,4,0,0,2,0,23,3,2,0,5,2,0,0,0,5
2025_10_18_OCvNAIT,NAIT,11,Katie Nashim *,4,6,2,14,0.286,2,0,3,2,6,0,0,0,0,6
2025_10_18_OCvNAIT,NAIT,12,Tanisha McQueen *,4,9,2,13,0.538,0,2,0,0,2,1,0,0,0,12
2025_10_18_OCvNAIT,NAIT,14,Emma Buyar *,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_18_OCvNAIT,NAIT,15,Egypt Trydal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
