game_id,team_name,jersey_no,player_name,sets_played,attack_kills,attack_errors,attack_total_attempts,attack_k%,setting_assists,serve_aces,serve_errors,reception_erros,digs,block_single,block_assists,block_errors,ball_handling_errors,points
2025_10_25_KCvNWP,KC,1,Adyson Wilson *,5,17,4,35,0.371,0,0,1,0,11,1,0,0,0,18
2025_10_25_KCvNWP,KC,2,Klara Kubicka,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,KC,3,Drew Jacobson,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2025_10_25_KCvNWP,KC,4,Gabrielle Buffong *,5,8,3,20,0.25,0,3,6,0,5,1,0,0,0,12
2025_10_25_KCvNWP,KC,6,Jordi Hazen,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2025_10_25_KCvNWP,KC,7,Erika Box *,5,4,1,8,0.375,36,0,3,0,10,2,0,0,0,6
2025_10_25_KCvNWP,KC,10,Rory Bell,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2025_10_25_KCvNWP,KC,11,Milan Schapowal *,5,8,0,16,0.5,1,0,1,0,4,2,0,0,0,10
2025_10_25_KCvNWP,KC,12,Natasa Maric,2,1,0,4,0.25,0,0,1,0,0,0,0,0,0,1
2025_10_25_KCvNWP,KC,13,Taya McCarthy,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2025_10_25_KCvNWP,KC,14,Payton Hollinger *,5,3,2,7,0.143,1,0,1,0,6,4,0,0,0,7
2025_10_25_KCvNWP,KC,17,Amanda Onyeukwu *,5,12,2,26,0.385,0,5,1,0,12,1,0,0,0,18
2025_10_25_KCvNWP,KC,18,Emma Simms,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_KCvNWP,NWP,1,Sierra LaValley *,4,4,0,8,0.5,0,1,1,0,3,0,0,0,0,5
2025_10_25_KCvNWP,NWP,2,Sophia Smoke,3,2,2,4,0,0,1,1,0,0,0,0,0,0,3
2025_10_25_KCvNWP,NWP,3,Reese Holman,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2025_10_25_KCvNWP,NWP,4,Alexa Hryciuk,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025_10_25_KCvNWP,NWP,5,Ivey Hansma,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2025_10_25_KCvNWP,NWP,6,Avery Hucker,2,1,0,1,1,6,1,1,0,1,0,0,0,0,2
2025_10_25_KCvNWP,NWP,7,Aleksa Watts,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2025_10_25_KCvNWP,NWP,9,Harshpreet Dhaliwal *,5,7,2,16,0.312,0,2,2,0,6,0,0,0,0,9
2025_10_25_KCvNWP,NWP,10,Savannah Lambert,3,1,1,6,0,1,1,1,0,1,1,0,0,0,3
2025_10_25_KCvNWP,NWP,11,Josie Lund *,5,4,1,9,0.333,0,6,2,0,2,0,0,0,0,10
2025_10_25_KCvNWP,NWP,12,Haley Demmans *,5,12,2,26,0.385,0,1,2,0,8,1,0,0,0,14
2025_10_25_KCvNWP,NWP,13,Helaina Zeyha *,5,14,6,37,0.216,0,1,1,0,7,0,0,0,0,15
2025_10_25_KCvNWP,NWP,15,Gillian Head *,5,1,0,1,1,33,1,0,0,3,1,0,0,0,3
2025_10_25_KCvNWP,NWP,16,Gabrielle Capelle,5,0,0,0,0,1,0,0,0,14,0,0,0,0,0
