Player,Team,Jersey_x,SP,K,E,TA,attack_k%,A,SA,SE,RE,DIGS,BS,BA,BE,BHE,points,PTS,O-Rtg,D-Rtg,T-Rtg,Jersey_y,Player_ID
Adam Revet,BC,17,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.0,1032.0
Aiden Peake,UAA,8,4,4,6,17,0.3,0,0,3,0,4,1,0,0,0,5.0,5.0,-1.0,0.75,-0.25,4.0,1232.0
Aiden Wright,NAIT,40,14,19,15,55,0.32,5,2,6,5,17,4,0,0,0,25.0,25.0,0.32,0.54,0.86,17.0,1146.0
Alex Liao,SAIT,8,3,1,0,0,0.0,30,1,0,0,0,0,0,0,0,2.0,2.0,1.67,0.0,1.67,8.0,1203.0
Alexander Baird,MHC,24,8,13,4,22,0.8180000000000001,32,3,3,0,4,1,0,0,0,17.0,17.0,1.65,0.38,2.02,12.0,1125.0
Alexi Dufour,CUE,18,6,15,5,22,1.077,23,2,9,0,2,1,0,0,0,18.0,18.0,1.05,0.33,1.38,9.0,1045.0
Amir Rezaei,AMB,48,15,4,0,3,2.0,91,2,3,0,16,2,0,0,0,8.0,8.0,0.94,0.67,1.61,12.0,1012.0
Anders Gabler,TKU,24,7,3,5,10,-0.41700000000000004,0,1,4,0,2,1,0,0,0,5.0,5.0,-0.57,0.29,-0.29,12.0,1224.0
Arthur Alves Genes Silveira,KC,6,8,34,11,66,0.6930000000000001,2,1,7,0,18,1,0,0,0,36.0,36.0,2.28,1.25,3.52,3.0,1052.0
Austin Wilson,CUE,14,5,2,0,2,1.0,0,0,0,0,1,0,0,0,0,2.0,2.0,0.4,0.1,0.5,7.0,1043.0
Ben Allard,NWP,34,3,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1.0,1.0,0.33,0.0,0.33,17.0,1164.0
Ben Dyck,LPK,9,3,8,1,12,0.583,0,0,1,0,2,2,0,0,0,10.0,10.0,2.67,1.0,3.67,9.0,1100.0
Ben Kieser,NAIT,20,14,21,9,41,1.294,0,1,10,0,2,3,0,0,0,25.0,25.0,0.43,0.29,0.71,2.0,1133.0
Ben Kramer,BC,44,4,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.12,0.12,22.0,1035.0
Ben St. Pierre,LPK,1,2,0,0,0,0.0,14,0,1,0,1,1,0,0,0,1.0,1.0,0.7,0.75,1.45,1.0,1093.0
Ben Weiss,NAIT,8,9,0,1,1,-1.0,6,0,3,0,0,0,0,0,0,0.0,0.0,-0.38,0.0,-0.38,19.0,1148.0
Benjamin Farley,AMB,68,15,0,0,0,0.0,3,0,0,0,27,0,0,0,0,0.0,0.0,0.02,0.9,0.92,17.0,1017.0
Bradley Noskey,RDP,20,8,0,1,2,-0.5,1,0,0,2,26,0,0,0,0,0.0,0.0,-0.11,1.38,1.26,10.0,1192.0
Brady Ewart,LPK,2,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1094.0
Brandon Burnside,SAIT,3,1,3,2,7,0.143,0,3,3,0,0,0,0,0,0,6.0,6.0,1.0,0.0,1.0,9.0,1204.0
Braydon Beattie,OC,48,6,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,-0.17,0.0,-0.17,16.0,1178.0
Brett Lower,RDP,18,8,29,6,53,0.792,2,0,3,0,7,2,0,0,0,31.0,31.0,2.78,0.69,3.46,9.0,1191.0
Brodie Schutz,TKU,21,12,14,4,20,0.625,3,6,1,0,6,2,0,0,0,22.0,22.0,1.44,0.42,1.86,7.0,1220.0
Brodie Wight,CUE,10,5,12,4,16,1.429,0,1,2,0,1,1,0,0,0,14.0,14.0,1.6,0.3,1.9,5.0,1041.0
Cade Harrison,MHC,12,5,10,0,10,2.0,0,0,1,0,3,0,0,0,0,10.0,10.0,1.8,0.3,2.1,6.0,1119.0
Caelum Hartman,UAA,32,8,3,1,8,0.333,58,1,8,0,12,2,0,0,0,6.0,6.0,0.35,1.0,1.35,16.0,1244.0
Caleb Lockington,NWP,36,11,14,5,27,0.997,1,2,6,0,3,3,0,0,0,19.0,19.0,0.74,0.41,1.15,12.0,1159.0
Cameron Marshall,LPK,6,3,5,4,17,0.059,1,1,2,0,2,2,0,0,0,8.0,8.0,0.7,1.0,1.7,6.0,1097.0
Carsten Bergeron,NAIT,56,11,13,7,26,0.786,0,1,4,0,2,5,0,0,0,19.0,19.0,0.73,0.55,1.27,14.0,1144.0
Carter Sinclair,OC,28,17,23,5,24,0.353,2,0,2,0,9,11,0,0,0,34.0,34.0,1.6,0.91,2.51,7.0,1170.0
Carter Tuttle,NWP,39,9,3,0,3,1.0,51,1,5,0,18,0,0,0,0,4.0,4.0,0.46,1.0,1.46,13.0,1160.0
Carter Wibrowski,TKU,10,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.0,1223.0
Casey Needham,AMB,32,7,0,0,0,0.0,15,0,1,0,2,0,0,0,0,0.0,0.0,0.07,0.14,0.21,8.0,1008.0
Chad Boelee,TKU,24,12,6,1,5,1.5,60,5,4,0,9,0,0,0,0,11.0,11.0,1.0,0.38,1.38,8.0,1221.0
Colby Nemeth,RDP,6,8,30,9,72,0.541,4,2,8,1,10,2,0,0,0,34.0,34.0,2.17,0.75,2.92,3.0,1185.0
Cole Barlage,NAIT,32,11,7,3,16,0.75,1,1,3,2,5,1,0,0,0,9.0,9.0,0.28,0.14,0.42,8.0,1139.0
