Player,Team,Jersey_x,SP,K,E,TA,attack_k%,A,SA,SE,RE,DIGS,BS,BA,BE,BHE,Unnamed: 18,points,O-Rtg,D-Rtg,T-Rtg,Jersey_y,Player_ID
Addysen Noble,NAIT,7,1,0,1,1,-1.0,0,1,1,0,1,0,0,0,0,1.0,0.0,-1.0,0.5,-0.5,7,2127.0
Alex MacDonald,CUE,20,5,6,2,8,1.429,0,0,0,0,0,2,0,0,0,8.0,0.0,0.8,0.4,1.2000000000000002,10,2043.0
Alexa Hryciuk,NWP,4,1,1,1,3,0.0,0,0,0,0,3,0,0,0,0,1.0,0.0,0.0,1.5,1.5,4,2140.0
Alexandra Benson,NAIT,12,4,1,0,1,1.0,2,0,0,0,1,0,0,0,0,1.0,0.0,0.4,0.125,0.525,6,2126.0
Alyvia Williams,AMB,18,4,5,1,15,0.267,0,1,2,0,2,2,0,0,0,8.0,0.0,0.75,0.75,1.5,18,2015.0
Andrea Breabans,UAA,8,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,2221.0
Andrea Geraghty,OC,36,3,0,1,1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,18,2167.0
Arewyn Rae,SAIT,5,3,8,0,18,0.444,1,0,5,0,0,3,0,0,0,11.0,0.0,1.0999999999999999,1.0,2.0999999999999996,5,2188.0
Ashley Wiesener,NAIT,18,1,0,3,3,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,-3.0,0.0,-3.0,18,2136.0
Autumn Letwin,RDP,32,9,10,4,33,0.36,1,2,2,0,3,13,0,0,0,25.0,0.0,0.7,1.6111111111111112,2.311111111111111,16,2184.0
Ava Campbell,OC,22,3,0,1,3,-0.333,0,0,2,0,1,0,0,0,0,0.0,0.0,-1.0,0.16666666666666666,-0.8333333333333334,11,2161.0
Avery Hucker,NWP,6,1,0,0,0,0.0,3,0,0,0,1,0,0,0,0,0.0,0.0,0.8999999999999999,0.5,1.4,6,2142.0
Avery Sande,SAIT,9,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,0.3,9,2192.0
Aylah Vanderwerff,LPK,17,1,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,0.3,17,2102.0
Aysha Savoury,NAIT,4,3,0,0,0,0.0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,-0.6666666666666666,-0.6666666666666666,4,2124.0
Brooke Bergstrom,RDP,30,6,4,4,22,0.161,0,2,1,1,8,0,0,0,0,6.0,0.0,0.16666666666666666,0.5,0.6666666666666666,15,2183.0
Brooke McBride,UAA,2,8,22,2,30,1.339,0,0,5,0,4,8,0,0,0,30.0,0.0,1.875,1.25,3.125,1,2215.0
Brooke Weber,CUE,6,2,0,0,0,0.0,2,0,1,0,0,1,0,0,0,1.0,0.0,-0.2,0.5,0.3,6,2039.0
Brooklyn Deol,AMB,18,9,19,1,23,0.391,2,5,5,0,3,8,0,0,0,15.0,17.0,2.066666666666667,1.0555555555555556,3.1222222222222227,9,2007.0
Caitlin Wylie,CUE,12,3,6,5,12,0.083,0,0,0,0,2,0,0,0,0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,12,2045.0
Camryn McDougald,OC,15,3,0,1,1,-1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,-0.6666666666666666,0.0,-0.6666666666666666,15,2165.0
Casey Gilmour,NAIT,10,4,0,0,2,0.0,23,3,2,0,5,2,0,0,0,5.0,0.0,1.9749999999999999,1.125,3.0999999999999996,10,2130.0
Cassandra Klinger,UAA,12,8,0,0,0,0.0,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,0.75,0.75,6,2220.0
Chenee Lehman,TKU,13,4,0,0,0,0.0,1,0,0,0,8,0,0,0,0,0.0,0.0,0.075,1.0,1.075,13,2211.0
Corey Hannett,RDP,2,2,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2170.0
Crystal Webber,SAIT,12,3,0,0,2,0.0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997,16,2197.0
Denae Hordal,CUE,4,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,2037.0
Egypt Trydal,NAIT,15,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.5,15,2134.0
Elise Wagner,AMB,26,9,21,4,31,0.129,1,5,5,0,14,3,0,0,0,13.0,16.0,1.9222222222222223,1.1111111111111112,3.033333333333333,13,2011.0
Ella Jarret,UAA,40,2,0,1,1,-1.0,0,1,1,0,1,0,0,0,0,1.0,0.0,-0.5,0.25,-0.25,20,2231.0
Ella Kivi,OC,18,5,0,1,1,-1.0,10,0,3,0,1,0,0,0,0,0.0,0.0,-0.2,0.1,-0.1,9,2159.0
Elli-Anna McDougald,OC,5,3,3,0,5,0.6,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,0.0,1.0,5,2155.0
Emilie Pregal,AMB,30,8,0,0,0,0.0,3,0,0,0,27,0,0,0,0,0.0,0.0,0.11249999999999999,1.6875,1.8,15,2012.0
Emma Buyar,NAIT,28,5,0,0,0,0.0,0,1,0,1,3,0,0,0,0,1.0,0.0,0.2,0.1,0.30000000000000004,14,2133.0
Emma Laybourne,TKU,22,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22,2214.0
Emma Scheerle,TKU,12,4,6,0,0,0.0,0,1,0,0,1,1,0,0,0,0.0,8.0,1.75,0.375,2.125,12,2210.0
Emma Thompson,CUE,22,4,13,3,24,1.116,3,4,1,0,3,1,0,0,0,18.0,0.0,3.475,0.625,4.1,11,2044.0
Emma Tran,CUE,16,6,0,0,0,0.0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.44999999999999996,0.0,0.44999999999999996,8,2041.0
Faith Buffalo,OC,24,7,2,11,25,-0.6619999999999999,0,4,4,0,1,1,0,0,0,7.0,0.0,-1.2857142857142858,0.21428571428571427,-1.0714285714285716,12,2162.0
Gabrielle Capelle,NWP,16,5,0,0,0,0.0,2,0,0,0,17,0,0,0,0,0.0,0.0,0.12,1.7,1.8199999999999998,16,2150.0
Gillian Head,NWP,15,5,0,2,2,-1.0,37,2,3,0,5,2,0,0,0,4.0,0.0,1.6199999999999999,0.9,2.52,15,2149.0
Grace Florence,SAIT,3,2,4,1,6,0.5,28,1,2,0,0,1,0,0,0,6.0,0.0,5.2,0.5,5.7,3,2186.0
Grace Haws,UAA,34,6,7,4,24,0.261,0,3,2,0,6,1,0,0,0,11.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,17,2228.0
Grace Reist,TKU,6,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,2204.0
Hadley Ziemmer,UAA,20,8,22,8,55,0.613,2,2,5,0,14,2,0,0,0,26.0,0.0,1.45,1.125,2.575,10,2223.0
Haley Demmans,NWP,12,5,12,7,35,0.143,0,2,5,0,8,0,0,0,0,14.0,0.0,0.4,0.8,1.2000000000000002,12,2147.0
Halle Blocha,AMB,5,2,4,0,0,0.0,1,0,0,0,2,0,0,0,0,0.0,4.0,2.15,0.5,2.65,5,2004.0
Hannah Stewart,OC,2,5,7,0,15,0.795,0,1,1,2,6,0,0,0,0,8.0,0.0,1.4,0.2,1.5999999999999999,1,2151.0
Harshpreet Dhaliwal,NWP,9,5,10,2,23,0.348,0,0,1,0,11,1,0,0,0,11.0,0.0,1.4,1.3,2.7,9,2144.0
Hayden gervais,OC,12,6,1,3,8,-1.0,22,3,5,0,3,0,0,0,0,4.0,0.0,0.4333333333333333,0.25,0.6833333333333333,6,2156.0
Helaina Zeyha,NWP,13,5,14,6,34,0.235,0,4,2,0,8,0,0,0,0,18.0,0.0,2.0,0.8,2.8,13,2148.0
Ivey Hansma,NWP,5,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,2141.0
Jailyn Stouffer,RDP,14,2,1,1,2,0.0,0,0,1,0,0,3,0,0,0,4.0,0.0,-0.5,1.5,1.0,14,2182.0
Jayna Thulien,AMB,11,2,2,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,2.0,1.0,0.25,1.25,11,2009.0
Jenna May,CUE,9,2,1,0,3,0.333,0,0,1,0,0,1,0,0,0,2.0,0.0,0.0,0.5,0.5,9,2042.0
Jensyn Brydon,TKU,15,4,10,0,0,0.0,0,1,0,0,3,0,0,0,0,0.0,11.0,2.75,0.375,3.125,15,2213.0
Jette Fleming,UAA,2,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2216.0
Jillian Bieraugle,AMB,7,2,0,0,3,0.0,12,1,1,0,5,0,0,0,0,1.0,0.0,1.7999999999999998,1.25,3.05,7,2005.0
Jocelyn Ruark,SAIT,13,2,8,1,15,0.467,0,1,3,0,0,2,0,0,0,11.0,0.0,2.5,1.0,3.5,13,2195.0
Jorja Hamilton,LPK,8,2,3,2,11,0.091,0,0,0,0,4,0,0,0,0,3.0,0.0,0.5,1.0,1.5,8,2094.0
Josie Lund,NWP,11,5,10,1,17,0.529,0,1,2,0,2,0,0,0,0,11.0,0.0,1.6,0.2,1.8,11,2146.0
Julia Pedersen,RDP,16,4,0,1,4,-0.25,0,0,0,0,2,0,0,0,0,0.0,0.0,-0.25,0.25,0.0,8,2176.0
Justine May,CUE,2,6,0,0,1,0.0,5,1,1,0,0,0,0,0,0,1.0,0.0,0.25,0.0,0.25,1,2034.0
Kadison McLeod,TKU,1,4,6,0,0,0.0,0,1,0,0,5,1,0,0,0,0.0,8.0,1.75,0.875,2.625,1,2199.0
Kalyna Bahler,OC,26,7,1,0,2,0.5,3,0,0,1,11,0,0,0,0,1.0,0.0,0.2714285714285714,0.6428571428571429,0.9142857142857144,13,2163.0
Katelyn Hennessy,UAA,24,8,1,0,6,0.333,40,3,3,0,13,1,0,0,0,5.0,0.0,1.625,0.9375,2.5625,12,2225.0
Katie Hadwin,TKU,11,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.5,0.0,0.5,11,2209.0
Katie Nashim,NAIT,22,8,20,8,47,0.528,2,1,4,2,17,1,0,0,0,22.0,0.0,1.2,0.9375,2.1375,11,2131.0
Kaydence Seward,NAIT,16,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.5,,
Kayla Burns,CUE,36,5,3,2,11,0.111,31,2,1,0,4,1,0,0,0,6.0,0.0,2.26,0.6,2.86,18,2051.0
Keira Scharfenberg,UAA,18,8,0,0,0,0.0,1,0,0,0,9,0,0,0,0,0.0,0.0,0.0375,0.5625,0.6,9,2222.0
Kennedy Paget,OC,6,4,4,4,19,0.0,0,0,6,0,3,0,0,0,0,4.0,0.0,-1.5,0.375,-1.125,3,2153.0
Kolby Zimmer,CUE,30,6,19,5,32,0.9690000000000001,9,3,1,0,0,4,0,0,0,26.0,0.0,3.1166666666666667,0.6666666666666666,3.783333333333333,15,2048.0
Kya Wildeman,AMB,24,6,4,2,12,0.083,0,2,1,0,4,2,0,0,0,5.0,3.0,0.5,0.6666666666666666,1.1666666666666665,12,2010.0
Lacey Saville,TKU,5,4,2,0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,3.0,0.5,0.25,0.75,5,2203.0
Lainey Granley,UAA,28,8,5,2,18,0.734,2,5,4,0,6,2,0,0,0,12.0,0.0,0.575,0.625,1.2,14,2226.0
Lauren Barker,LPK,20,3,3,1,9,0.222,0,0,3,0,0,4,0,0,0,7.0,0.0,-0.3333333333333333,1.3333333333333333,1.0,20,2104.0
Leah Aukema,TKU,4,4,4,0,0,0.0,5,2,0,0,4,1,0,0,0,0.0,7.0,1.875,0.75,2.625,4,2202.0
Lexi Gedny,NAIT,18,5,2,2,4,0.0,41,2,2,0,7,0,0,0,0,4.0,0.0,2.46,0.7,3.16,9,2129.0
Lexi Lafreniere,OC,32,7,11,6,31,0.312,3,8,4,0,9,3,0,0,0,22.0,0.0,1.4142857142857144,1.0714285714285714,2.4857142857142858,16,2166.0
Lilah Pratt,AMB,38,9,7,2,12,0.333,0,1,1,0,1,3,0,0,0,9.0,2.0,0.5555555555555556,0.3888888888888889,0.9444444444444444,19,2016.0
Lisa Buchard,OC,4,7,6,1,12,0.455,1,0,1,0,6,1,0,0,0,7.0,0.0,0.6142857142857142,0.5714285714285714,1.1857142857142855,2,2152.0
Liv Sladek,SAIT,4,1,1,3,5,-0.4,0,0,0,0,0,0,0,0,0,1.0,0.0,-2.0,0.0,-2.0,4,2187.0
Maddy DeZutter,RDP,26,9,2,0,8,0.25,5,0,0,1,31,0,0,0,0,2.0,0.0,0.3888888888888889,1.6111111111111112,2.0,13,2181.0
Madge Prince,NAIT,2,8,9,2,22,0.75,0,2,3,0,1,4,0,0,0,15.0,0.0,0.75,0.5625,1.3125,1,2122.0
Madison Dyck,SAIT,6,1,0,1,1,-1.0,15,2,2,0,0,0,0,0,0,2.0,0.0,3.5,0.0,3.5,6,2189.0
Madison Yates,LPK,9,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,2095.0
Makenna Doyle,NAIT,4,8,7,11,33,-0.236,6,5,2,3,16,0,0,0,0,12.0,0.0,0.09999999999999998,0.625,0.725,2,2123.0
Maria Brouwer,RDP,18,9,2,3,11,-0.25,39,2,6,0,12,1,0,0,0,5.0,0.0,0.7444444444444444,0.7777777777777778,1.5222222222222221,9,2177.0
Marin Walton,RDP,24,9,23,3,48,0.846,0,2,3,2,12,2,0,0,0,27.0,0.0,2.111111111111111,0.6666666666666666,2.7777777777777777,12,2180.0
Mercedes Reinhart,SAIT,18,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,2198.0
Mia Delaquis,SAIT,7,3,11,4,24,0.292,0,0,2,0,0,1,0,0,0,12.0,0.0,1.6666666666666667,0.3333333333333333,2.0,7,2190.0
Nadia McKeage,RDP,10,9,12,11,54,-0.01200000000000001,2,2,4,0,16,0,0,0,0,14.0,0.0,-0.044444444444444446,0.8888888888888888,0.8444444444444444,5,2173.0
Olivia Spelt,CUE,6,5,7,1,5,0.4,1,1,0,0,1,5,0,0,0,13.0,0.0,1.46,1.1,2.56,3,2036.0
Olivia Wideman,LPK,1,3,2,3,10,-0.1,0,1,1,0,0,1,0,0,0,4.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,1,2088.0
Paisley Bamford,OC,8,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.5,8,2158.0
Phaedra Bruens,UAA,10,4,0,0,0,0.0,29,1,3,0,3,0,0,0,0,1.0,0.0,1.6749999999999998,0.375,2.05,5,2219.0
Quincy Price,LPK,6,3,0,1,2,-0.5,3,0,0,0,6,0,0,0,0,0.0,0.0,-0.03333333333333336,1.0,0.9666666666666667,6,2092.0
Rachel Barg,AMB,32,7,0,0,0,0.0,42,1,2,0,15,0,0,0,0,1.0,0.0,1.657142857142857,1.0714285714285714,2.7285714285714286,16,2013.0
Rachel Mallett,NAIT,10,8,32,20,69,0.449,2,2,6,2,10,0,0,0,0,34.0,0.0,1.075,0.375,1.45,5,2125.0
Rachel Perry,RDP,14,7,4,1,9,0.55,0,0,1,0,2,1,0,0,0,5.0,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,7,2175.0
Racquel Lussier,NAIT,16,7,0,0,2,0.0,5,0,0,3,21,0,0,0,0,0.0,0.0,0.21428571428571427,1.0714285714285714,1.2857142857142856,8,2128.0
Raya Jorgensen,OC,20,6,6,5,16,0.125,0,0,3,2,4,0,0,0,0,6.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,10,2160.0
Raya Roesler,RDP,20,8,12,2,23,0.8380000000000001,1,2,0,0,3,8,0,0,0,22.0,0.0,1.5375,1.1875,2.725,10,2178.0
Reese Hanusich,LPK,13,3,1,2,4,-0.25,24,0,1,0,4,0,0,0,0,1.0,0.0,1.7333333333333332,0.6666666666666666,2.4,13,2099.0
Reese Holman,NWP,3,2,0,0,0,0.0,1,0,0,0,5,0,0,0,0,0.0,0.0,0.15,1.25,1.4,3,2139.0
Reid Adams,RDP,6,7,1,0,4,0.333,14,0,1,0,1,1,0,0,0,2.0,0.0,0.6,0.21428571428571427,0.8142857142857143,3,2171.0
Rhyen Hannett,RDP,8,8,0,1,1,-1.0,4,2,2,0,6,0,0,0,0,2.0,0.0,0.024999999999999994,0.375,0.4,4,2172.0
Riley Dand,RDP,12,6,0,0,0,0.0,0,1,0,0,1,0,0,0,0,1.0,0.0,0.16666666666666666,0.08333333333333333,0.25,6,2174.0
Robyn Austin,LPK,3,3,18,2,39,0.41,2,0,0,0,1,2,0,0,0,20.0,0.0,5.533333333333334,0.8333333333333334,6.366666666666667,3,2090.0
Robyn Rivard,LPK,10,2,2,1,7,0.143,0,0,2,0,0,0,0,0,0,2.0,0.0,-0.5,0.0,-0.5,10,2096.0
Samantha Langdon,TKU,2,4,11,0,0,0.0,2,1,0,0,4,1,0,0,0,0.0,13.0,3.15,0.75,3.9,2,2200.0
Sarah Henriksen,SAIT,1,2,9,2,15,0.467,0,0,2,0,0,1,0,0,0,10.0,0.0,2.5,0.5,3.0,1,2185.0
Sarah Mistol,RDP,2,6,5,2,29,0.202,0,2,1,2,9,0,0,0,0,7.0,0.0,0.6666666666666666,0.4166666666666667,1.0833333333333333,1,2169.0
Savannah Lambert,NWP,10,1,1,0,2,0.5,0,0,1,0,0,1,0,0,0,2.0,0.0,0.0,1.0,1.0,10,2145.0
Shelby Reibin,CUE,13,2,1,0,3,0.333,9,0,0,0,0,0,0,0,0,1.0,0.0,1.8499999999999999,0.0,1.8499999999999999,13,2046.0
Sierra LaValley,NWP,1,3,1,0,4,0.25,1,0,0,0,4,1,0,0,0,2.0,0.0,0.43333333333333335,1.0,1.4333333333333333,1,2137.0
